,counter_id,latitude,longitude,is_couvre_feu,temp,precip,windspeed,visibility,icon_encoded,is_lockdown,is_ferie,is_vacances,year,month,day,weekday,hour,is_weekend
0,100049407-353255860,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
1,100049407-353255859,48.840801,2.333233,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
2,100036719-104036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
3,100036719-103036719,48.85372,2.35702,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
4,100063175-353277233,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
5,100063175-353277235,48.88529,2.32666,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
6,100056336-106056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
7,100056336-105056336,48.85013,2.35423,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
8,100007049-102007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
9,100007049-101007049,48.846028,2.375429,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
10,100056330-104056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
11,100056330-103056330,48.85209,2.28508,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
12,100056334-103056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
13,100056334-104056334,48.86502,2.35387,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
14,100036718-104036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
15,100036718-103036718,48.83436,2.377,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
16,100047547-104047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
17,100047547-103047547,48.82636,2.30303,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
18,100044493-SC,48.86149,2.37376,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
19,100060178-102060178,48.84638,2.31529,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
20,100060178-101060178,48.84638,2.31529,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
21,100047545-103047545,48.890457,2.368852,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
22,100047545-104047545,48.890457,2.368852,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
23,100047548-103047548,48.89141,2.38482,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
24,100047548-104047548,48.89141,2.38482,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
25,100056327-103056327,48.86461,2.40969,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
26,100056327-104056327,48.86461,2.40969,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
27,100056331-104056331,48.83421,2.26542,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
28,100056331-103056331,48.83421,2.26542,0,16.1,0.0,13.6,25.1,3,0,0,0,2020,9,1,1,1,0
