iter	Passed	Remaining
0	24	6104
1	44	5495
2	62	5141
3	78	4818
4	96	4729
5	113	4616
6	130	4529
7	149	4520
8	168	4517
9	186	4465
10	201	4379
11	219	4361
12	238	4344
13	254	4298
14	274	4299
15	291	4258
16	309	4240
17	327	4222
18	346	4213
19	364	4197
20	383	4186
21	402	4166
22	419	4141
23	437	4121
24	452	4075
25	468	4039
26	486	4019
27	504	4000
28	521	3974
29	538	3945
30	556	3928
31	572	3901
32	591	3891
33	611	3882
34	629	3869
35	647	3851
36	666	3835
37	682	3808
38	698	3780
39	716	3761
40	731	3728
41	749	3714
42	768	3699
43	787	3684
44	803	3662
45	822	3647
46	840	3628
47	858	3612
48	876	3593
49	895	3582
50	914	3568
51	931	3545
52	947	3523
53	963	3497
54	980	3477
55	998	3458
56	1015	3438
57	1033	3422
58	1051	3405
59	1070	3388
60	1088	3372
61	1106	3354
62	1121	3330
63	1133	3292
64	1151	3276
65	1169	3261
66	1185	3238
67	1205	3226
68	1224	3211
69	1242	3194
70	1260	3177
71	1278	3161
72	1298	3147
73	1317	3133
74	1333	3112
75	1352	3095
76	1370	3078
77	1387	3060
78	1405	3042
79	1422	3023
80	1438	3001
81	1455	2981
82	1473	2964
83	1491	2948
84	1502	2915
85	1517	2894
86	1535	2877
87	1553	2859
88	1571	2843
89	1590	2827
90	1608	2810
91	1624	2790
92	1640	2769
93	1658	2752
94	1675	2734
95	1694	2718
96	1712	2701
97	1730	2684
98	1747	2665
99	1766	2649
100	1786	2636
101	1804	2618
102	1824	2603
103	1843	2587
104	1861	2571
105	1880	2554
106	1898	2537
107	1916	2519
108	1933	2500
109	1951	2483
110	1970	2467
111	1987	2448
112	2005	2430
113	2021	2411
114	2038	2393
115	2056	2375
116	2075	2359
117	2094	2342
118	2111	2324
119	2130	2307
120	2148	2290
121	2163	2269
122	2181	2252
123	2198	2234
124	2217	2217
125	2233	2198
126	2252	2181
127	2270	2164
128	2287	2145
129	2306	2129
130	2323	2110
131	2340	2092
132	2359	2075
133	2378	2058
134	2396	2041
135	2415	2024
136	2433	2006
137	2452	1990
138	2469	1972
139	2475	1945
140	2494	1928
141	2512	1910
142	2530	1893
143	2548	1875
144	2564	1857
145	2582	1839
146	2599	1821
147	2616	1803
148	2635	1786
149	2653	1769
150	2672	1751
151	2690	1734
152	2709	1717
153	2725	1698
154	2743	1681
155	2759	1662
156	2776	1644
157	2793	1626
158	2812	1609
159	2830	1592
160	2848	1574
161	2866	1556
162	2883	1539
163	2902	1522
164	2920	1504
165	2938	1486
166	2956	1469
167	2975	1452
168	2994	1435
169	3012	1417
170	3029	1399
171	3048	1382
172	3066	1364
173	3082	1346
174	3099	1328
175	3114	1309
176	3118	1286
177	3136	1268
178	3154	1251
179	3171	1233
180	3189	1216
181	3207	1198
182	3226	1181
183	3244	1163
184	3261	1145
185	3280	1128
186	3298	1111
187	3318	1094
188	3335	1076
189	3352	1058
190	3368	1040
191	3387	1023
192	3405	1005
193	3424	988
194	3442	970
195	3459	953
196	3475	935
197	3493	917
198	3511	899
199	3530	882
200	3547	864
201	3565	847
202	3582	829
203	3600	811
204	3615	793
205	3632	775
206	3648	757
207	3667	740
208	3686	723
209	3704	705
210	3722	688
211	3741	670
212	3758	652
213	3774	635
214	3792	617
215	3815	600
216	3834	583
217	3851	565
218	3870	547
219	3887	530
220	3908	512
221	3925	495
222	3942	477
223	3960	459
224	3978	442
225	3996	424
226	4014	406
227	4018	387
228	4036	370
229	4053	352
230	4071	334
231	4089	317
232	4107	299
233	4125	282
234	4145	264
235	4164	247
236	4180	229
237	4198	211
238	4217	194
239	4235	176
240	4253	158
241	4272	141
242	4290	123
243	4307	105
244	4325	88
245	4342	70
246	4359	52
247	4376	35
248	4395	17
249	4399	0
