Prix,date
1.22,2020-09-01
1.22,2020-09-02
1.22,2020-09-03
1.22,2020-09-04
1.22,2020-09-05
1.22,2020-09-06
1.22,2020-09-07
1.22,2020-09-08
1.22,2020-09-09
1.22,2020-09-10
1.22,2020-09-11
1.22,2020-09-12
1.22,2020-09-13
1.22,2020-09-14
1.22,2020-09-15
1.22,2020-09-16
1.22,2020-09-17
1.22,2020-09-18
1.22,2020-09-19
1.22,2020-09-20
1.22,2020-09-21
1.22,2020-09-22
1.22,2020-09-23
1.22,2020-09-24
1.22,2020-09-25
1.22,2020-09-26
1.22,2020-09-27
1.22,2020-09-28
1.22,2020-09-29
1.22,2020-09-30
1.21,2020-10-01
1.21,2020-10-02
1.21,2020-10-03
1.21,2020-10-04
1.21,2020-10-05
1.21,2020-10-06
1.21,2020-10-07
1.21,2020-10-08
1.21,2020-10-09
1.21,2020-10-10
1.21,2020-10-11
1.21,2020-10-12
1.21,2020-10-13
1.21,2020-10-14
1.21,2020-10-15
1.21,2020-10-16
1.21,2020-10-17
1.21,2020-10-18
1.21,2020-10-19
1.21,2020-10-20
1.21,2020-10-21
1.21,2020-10-22
1.21,2020-10-23
1.21,2020-10-24
1.21,2020-10-25
1.21,2020-10-26
1.21,2020-10-27
1.21,2020-10-28
1.21,2020-10-29
1.21,2020-10-30
1.21,2020-10-31
1.22,2020-11-01
1.22,2020-11-02
1.22,2020-11-03
1.22,2020-11-04
1.22,2020-11-05
1.22,2020-11-06
1.22,2020-11-07
1.22,2020-11-08
1.22,2020-11-09
1.22,2020-11-10
1.22,2020-11-11
1.22,2020-11-12
1.22,2020-11-13
1.22,2020-11-14
1.22,2020-11-15
1.22,2020-11-16
1.22,2020-11-17
1.22,2020-11-18
1.22,2020-11-19
1.22,2020-11-20
1.22,2020-11-21
1.22,2020-11-22
1.22,2020-11-23
1.22,2020-11-24
1.22,2020-11-25
1.22,2020-11-26
1.22,2020-11-27
1.22,2020-11-28
1.22,2020-11-29
1.22,2020-11-30
1.27,2020-12-01
