name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
paris,2020-09-01,21.4,11.5,16.1,21.4,11.5,16.1,8.7,63.5,0,0,0,,0,0,29.9,13.6,11,1019.1,50.2,25.1,161.9,13.9,6,,2020-09-01T07:07:47,2020-09-01T20:32:17,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-02,22,11.2,16.8,22,11.2,16.8,7.7,57.3,0,0,0,,0,0,30.4,11.1,9.5,1019.6,50.3,24.1,209,17.9,8,,2020-09-02T07:09:12,2020-09-02T20:30:14,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-03,26.9,15.3,21.3,26.7,15.3,21.3,10.8,52.2,0,0,0,,0,0,37.7,17.2,231.4,1020.7,93,25.6,172.5,14.9,6,,2020-09-03T07:10:37,2020-09-03T20:28:10,0.54,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-04,28.6,18.1,23.2,27.6,18.1,23,13,55.4,0,0,0,,0,0,29.9,15.8,278.4,1021.5,53.7,25.4,217.2,18.8,7,,2020-09-04T07:12:01,2020-09-04T20:26:05,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-05,20.1,15.4,17.7,20.1,15.4,17.7,10.6,65,0.016,100,4.17,rain,0,0,39.6,18.3,335.4,1021.4,88.1,25,134.2,11.5,6,,2020-09-05T07:13:26,2020-09-05T20:24:01,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07149099999,07156099999,07146099999,07145099999,E8015,07157099999,07147099999,07150099999,D3623"
paris,2020-09-06,19.1,11.8,15.4,19.1,11.8,15.4,8.6,64.8,0.027,100,4.17,rain,0,0,30,11.4,310,1021.8,77.1,25.1,106,9,6,,2020-09-06T07:14:51,2020-09-06T20:21:55,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-07,22.6,11.7,17.1,22.6,11.7,17.1,9.1,62.4,0,0,0,,0,0,22.3,10.8,337.1,1024.8,37.9,24.3,205.3,17.8,8,,2020-09-07T07:16:16,2020-09-07T20:19:50,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,E8015,07157099999,07147099999,07150099999,D3623"
paris,2020-09-08,25.8,14.7,19.9,25.8,14.7,19.9,12.5,63.4,0,0,0,,0,0,24.7,10.1,303.9,1026.7,59.9,25.5,186.2,16.2,6,,2020-09-08T07:17:41,2020-09-08T20:17:44,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-09,26.9,19.2,22.3,27.3,19.2,22.3,14.1,62.5,0.014,100,4.17,rain,0,0,32.7,16.4,330.9,1023.6,64.7,21.7,196.6,16.9,7,,2020-09-09T07:19:06,2020-09-09T20:15:37,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-10,25.6,16.9,21,25.6,16.9,21,15.1,71,0,0,0,,0,0,32.4,13,18,1020.8,63.2,21.4,174.8,15.3,7,,2020-09-10T07:20:31,2020-09-10T20:13:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-11,25.9,15.5,20.8,25.9,15.5,20.8,12.9,61.5,0,0,0,,0,0,27.8,11.7,349,1016.9,49.6,24.8,169.5,14.7,7,,2020-09-11T07:21:56,2020-09-11T20:11:24,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999,D3623"
paris,2020-09-12,22.6,13.8,17.9,22.6,13.8,17.9,11,65.4,0,0,0,,0,0,27.3,13.7,345.5,1021.1,24.7,22.8,185.7,16.1,7,,2020-09-12T07:23:21,2020-09-12T20:09:17,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,07150099999,D3623"
